,Date,Price,Open,High,Low,Vol.,Change %,Vol
357,"Apr 10, 2021",29.7649,29.5358,30.6100,29.3868,,0.86%,1.86M
358,"Apr 09, 2021",29.5108,30.1954,30.4516,29.5108,,-2.29%,1.47M
359,"Apr 08, 2021",30.2033,28.6238,30.2033,28.6238,,5.97%,1.69M
360,"Apr 07, 2021",28.5023,31.2931,31.2931,27.9881,,-8.74%,2.80M
361,"Apr 06, 2021",31.2328,30.8302,32.0469,30.6665,,1.45%,2.54M
362,"Apr 05, 2021",30.7850,31.0020,31.1049,29.8989,,-0.37%,1.98M
363,"Apr 04, 2021",30.9002,29.1600,31.0451,29.1600,,5.26%,1.73M
364,"Apr 03, 2021",29.3550,30.2761,31.8505,29.3550,,-2.87%,4.27M
365,"Apr 02, 2021",30.2211,28.7038,30.2211,28.7038,,5.36%,2.25M
366,"Apr 01, 2021",28.6848,28.1491,29.7664,28.1491,,2.31%,3.25M
367,"Mar 31, 2021",28.0380,28.5643,28.8611,27.3801,,-1.83%,2.71M
368,"Mar 30, 2021",28.5605,29.0346,29.0479,28.4926,,-1.58%,2.56M
369,"Mar 29, 2021",29.0185,27.8950,29.4153,27.8712,,4.22%,2.81M
370,"Mar 28, 2021",27.8430,28.2637,28.6677,27.4983,,-1.12%,2.03M
371,"Mar 27, 2021",28.1578,28.9051,29.1515,27.9134,,-2.83%,2.40M
372,"Mar 26, 2021",28.9782,26.4860,28.9782,26.4860,,9.30%,3.20M
373,"Mar 25, 2021",26.5118,27.1710,27.4922,26.2819,,-3.27%,4.92M
