,Date,Price,Open,High,Low,Vol.,Change %,Vol
323,"May 14, 2021",775.07,765.66,810.89,765.42,,0.99%,60.60K
324,"May 13, 2021",767.51,733.16,805.58,733.16,,5.85%,110.71K
325,"May 12, 2021",725.09,857.87,903.04,725.09,,-15.11%,108.72K
326,"May 11, 2021",854.11,780.51,869.44,779.74,,9.38%,110.87K
327,"May 10, 2021",780.83,771.68,804.36,731.07,,1.44%,65.48K
328,"May 09, 2021",769.77,783.00,783.00,742.34,,-1.52%,36.80K
329,"May 08, 2021",781.67,715.25,797.70,708.19,,9.35%,60.45K
330,"May 07, 2021",714.85,742.55,742.55,701.47,,-3.50%,42.56K
331,"May 06, 2021",740.81,787.22,787.22,739.07,,-5.84%,50.17K
332,"May 05, 2021",786.74,750.71,786.74,750.15,,4.66%,45.92K
333,"May 04, 2021",751.71,833.40,840.72,751.71,,-9.65%,83.98K
334,"May 03, 2021",831.96,802.61,831.96,798.21,,3.34%,92.58K
335,"May 02, 2021",805.04,804.00,862.18,804.00,,0.13%,99.89K
336,"May 01, 2021",804.00,739.17,823.01,730.89,,8.41%,91.47K
337,"Apr 30, 2021",741.64,643.30,741.64,642.36,,15.42%,78.06K
338,"Apr 29, 2021",642.57,646.52,671.11,637.11,,-0.81%,47.31K
339,"Apr 28, 2021",647.79,660.31,668.53,625.93,,-1.61%,65.39K
340,"Apr 27, 2021",658.36,639.96,681.15,639.96,,2.53%,75.38K
